character,degree,weighted_degree,betweenness,closeness,pagerank,eigenvector,community
"""Blow the Horn"" Kid",0.04854368932038834,0.08771929824561403,0.012425892687171957,0.21560241221504642,0.00949997600406262,0.02094516041436348,14
"""Where the Redfern Grows"" 5th grader",0.04854368932038834,0.10526315789473684,0.005040543725580849,0.2375812988971628,0.009456882444916546,0.07202538840154138,14
Aaron Aaronson,0.009708737864077669,0.017543859649122806,0.0,0.009708737864077669,0.012738853503182788,4.790363810056979e-19,0
Abraham Lincoln,0.009708737864077669,0.017543859649122806,0.0,0.18823749066467513,0.0033591727496293943,0.005436118569113535,19
Adam,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,1
Adlai Stevenson,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,2
Adrian Belew,0.10679611650485436,0.49122807017543857,0.04773338137844133,0.26032844453625287,0.041934115732657054,0.3760699214937091,4
African-American Teacher,0.029126213592233007,0.05263157894736842,0.005921106306600311,0.2297734627831715,0.005765512784489548,0.0403253486081457,4
Airshot,0.019417475728155338,0.03508771929824561,0.00047954456863651606,0.2137194217153517,0.0048059979989676935,0.01398565059611182,19
Akira Kurosawa,0.029126213592233007,0.07017543859649122,0.0,0.22246248896734336,0.007491336267194472,0.05439460333206025,34
Al Gore,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,3
Al Sneed,0.009708737864077669,0.017543859649122806,0.0,0.16368477449102187,0.0038928892909966513,0.0015474677130966794,4
Alcatraaz,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,5
Alec Baldwin,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,6
Alf,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,7
Alfred Hitchcock,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Alphonse,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Amber Duffman,0.009708737864077669,0.03508771929824561,0.0,0.1553706272152874,0.0048044785241590565,0.01709906405399657,19
Amphibian Man,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Andy Griffith,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,8
Angelica D'Amico,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,9
Angelo,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,10
Anger Watkins,0.04854368932038834,0.08771929824561403,0.012274079485672855,0.2703963954299201,0.00955036624418851,0.03387327577865196,19
Angry Mob,0.04854368932038834,0.08771929824561403,0.025066841486030517,0.2703963954299201,0.008718216866962305,0.03847741406085783,14
Angstrom Charles,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,11
Anita,0.029126213592233007,0.07017543859649122,0.0,0.2030777907585707,0.006879339293941986,0.02616744200190406,14
Annette,0.04854368932038834,0.10526315789473684,0.01684278055637279,0.27495363804952544,0.01063607864624601,0.056225732035859996,19
Annie Dubinsky,0.019417475728155338,0.03508771929824561,0.0,0.17416992018795566,0.007000709268513577,0.0006806192988216534,12
Apu Nahasapeemapetilon Sr.,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Apu's Dog,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,13
Archie,0.009708737864077669,0.017543859649122806,0.0,0.009708737864077669,0.012738853503182788,4.790363810056979e-19,0
Architect,0.019417475728155338,0.03508771929824561,0.01749204536183405,0.2286997550131567,0.005300651216055081,0.017273595014029634,34
Art teacher,0.04854368932038834,0.12280701754385964,0.0002728599530427058,0.20392394822006474,0.010477730930454393,0.09155203349690844,4
Ashley,0.06796116504854369,0.14035087719298245,0.018183064635092047,0.24228587907334423,0.014102442411256574,0.0661224024577038,25
Auction Announcer,0.019417475728155338,0.03508771929824561,0.0,0.16152391938222949,0.0066347436732824535,0.002273936199394561,34
Auctioneer,0.019417475728155338,0.03508771929824561,0.0,0.16152391938222949,0.0066347436732824535,0.002273936199394561,34
Audrey McConnell's Student 1,0.11650485436893203,0.543859649122807,0.022087605268644676,0.24349128145679372,0.039154511382825774,0.2654724120286504,14
Audrey McConnell's Student 2,0.04854368932038834,0.3157894736842105,0.0027841851656814527,0.2091527674051946,0.02227270986694481,0.19742884598431695,14
Audrey McConnell's Student 4,0.06796116504854369,0.17543859649122806,0.009097862445949257,0.23305594082293113,0.013955000829953637,0.08878319629290547,14
Audrey McConnell's Student 8,0.058252427184466014,0.17543859649122806,0.01329399073545276,0.2375812988971628,0.015063030067791664,0.10177663820381595,14
Audrey McConnell's Students,0.029126213592233007,0.07017543859649122,0.0015818625184701714,0.19498704212277107,0.007432368720367737,0.040936157102060326,34
Augustus Redfield,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,15
BB-8,0.019417475728155338,0.05263157894736842,0.0,0.19655320310367685,0.006371865450022774,0.018542367312933423,19
Baba Branka,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,16
Baby Bear,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,17
Baby Jesus,0.009708737864077669,0.017543859649122806,0.0,0.17732517236527368,0.003329005777305356,0.007295605532731949,34
Babysitter,0.038834951456310676,0.07017543859649122,0.013928435451850643,0.21279020683832842,0.009729956867103772,0.037387327483290336,4
Bait Shop Owner,0.04854368932038834,0.08771929824561403,0.015602051353050782,0.2137194217153517,0.011659705550421508,0.03793193402480472,4
Bambi,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Banksy,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,18
Barbara Belfry,0.029126213592233007,0.05263157894736842,0.013805263205605866,0.21560241221504642,0.008470018353535039,0.014008969436799796,19
Barbara Lelavinsky,0.029126213592233007,0.05263157894736842,0.0,0.24228587907334423,0.006047059052639657,0.03127883818129018,19
Barry Mackleberry,0.11650485436893203,0.3508771929824561,0.035328678396925106,0.25758814512008177,0.03407930714926981,0.13324744268936864,19
Bartman,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,20
Bartron,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,21
Baseball Announcer 1,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,22
Bashir bin Laden,0.009708737864077669,0.017543859649122806,0.0,0.2022386263339485,0.0036868244630381608,0.001805167432925768,25
Baz,0.029126213592233007,0.05263157894736842,0.0036720753810987974,0.2549049352750809,0.006467020604370158,0.02502392373539877,19
Bearded Lady,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,23
Becky,0.029126213592233007,0.05263157894736842,0.002237270312655808,0.20738028632548955,0.006765928717708552,0.013871271469161938,19
Becky Shorter,0.16504854368932037,0.631578947368421,0.060155586212125335,0.2780781112091792,0.04928388088274656,0.4335639960133295,4
Beezee,0.009708737864077669,0.017543859649122806,0.0,0.19895019338542902,0.0030934880156114177,0.020435465429913712,4
Before They Were Famous Host,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,24
Belle,0.06796116504854369,0.12280701754385964,0.042250003365080446,0.2845450440279973,0.014626045905849693,0.04424760786674864,25
Bender Bending Rodríguez,0.019417475728155338,0.03508771929824561,0.0,0.19576699029126213,0.005331429683255246,0.003444498788140111,25
Benedict Arnold,0.009708737864077669,0.017543859649122806,0.0,0.16818469956294,0.005547243031862717,0.0006177890019151663,34
Benevenstanciano,0.009708737864077669,0.017543859649122806,0.0,0.1631391585760518,0.003978331227645145,0.0015252480999179245,4
Benito Mussolini,0.009708737864077669,0.017543859649122806,0.0,0.16478702886469876,0.004310619034508409,0.0005715406894187417,19
Benjamin,0.058252427184466014,0.10526315789473684,0.026934183009282953,0.2734175842056734,0.0110640265552232,0.035376974535074435,19
Bernard,0.029126213592233007,0.05263157894736842,0.026023564765712104,0.2659877585479105,0.005852243270894252,0.050870069060301226,4
Bernie Sanders,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,26
Betty Cooper,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,27
Betty Ford,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,28
Big Bird,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,29
Bigfoot,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,30
Bildorf,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,31
Bill,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Bill Cipher,0.029126213592233007,0.05263157894736842,0.01767062812179888,0.22553800724799788,0.008931276876630707,0.015181456548094404,12
Bill Pye,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,32
Billy,0.04854368932038834,0.12280701754385964,0.02849528160778875,0.2091527674051946,0.01567914448221419,0.05346317453819353,34
Billy Crystal,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,33
Billy Eichner,0.009708737864077669,0.017543859649122806,0.0,0.1997622349910838,0.0033576532748207577,0.008549532026998286,19
Birch Barlow,0.038834951456310676,0.07017543859649122,0.0041361680496460615,0.22145587137020606,0.008873111936406214,0.009308897581550563,25
Bob Arnold,0.029126213592233007,0.07017543859649122,0.0,0.20738028632548955,0.008543932639898288,0.032369820715686975,25
Bob Belcher,0.038834951456310676,0.07017543859649122,0.05409607208579225,0.23643356315369826,0.011912834561030575,0.019311480439887663,35
Bud Armstrong,0.009708737864077669,0.017543859649122806,0.0,0.15012806003931145,0.00510993210407131,0.0006269472191842516,4
Buzz Aldrin,0.009708737864077669,0.017543859649122806,0.0,0.16818469956294,0.005547243031862717,0.0006177890019151663,34
Chuck Berger,0.20388349514563106,0.8596491228070176,0.07577038709962756,0.2780781112091792,0.06818165821315852,0.5009220804223584,4
Gene Belcher,0.029126213592233007,0.05263157894736842,0.01332571863696935,0.17927380063302395,0.012762760238344075,0.0008227788552793423,35
Jasper Beardsley,0.2815533980582524,1.0,0.20583797165036458,0.315753210147197,0.09964099765353032,0.369941789351412,34
Kumiko Albertson,0.19417475728155337,0.5614035087719298,0.08923556428553575,0.27966712898751733,0.054469316393439174,0.20956230972167394,19
Linda Belcher,0.029126213592233007,0.05263157894736842,0.01332571863696935,0.17927380063302395,0.012762760238344075,0.0008227788552793423,35
Louise Belcher,0.009708737864077669,0.017543859649122806,0.0,0.14268731070791701,0.0055287487347692125,3.3567112936383063e-05,35
Mary Bailey,0.038834951456310676,0.07017543859649122,0.013166883405318585,0.24228587907334423,0.009046181055773534,0.018310235276914753,25
Mr. Bergstrom,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,36
Ms. Albright,0.08737864077669902,0.21052631578947367,0.007520024289013438,0.25227704934441,0.02013494575669173,0.09251296299414888,19
Red Barclay,0.029126213592233007,0.05263157894736842,0.004257884383526876,0.19344564258029856,0.00903194586702953,0.001501551652869109,12
State Comptroller Atkins,0.038834951456310676,0.07017543859649122,0.003225941254210815,0.24470873786407768,0.0072506579078548215,0.043340612949483534,19
The Be Sharps,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,37
Tina Ballerina,0.029126213592233007,0.05263157894736842,0.0010313731258905447,0.2497027937388548,0.0062972185013825425,0.02804227199149006,25
Tina Belcher,0.009708737864077669,0.017543859649122806,0.0,0.14268731070791701,0.0055287487347692125,3.3567112936383063e-05,35
Tony Bennett,0.019417475728155338,0.03508771929824561,0.01332571863696935,0.1911787014563107,0.007527100404999317,0.015367747774026582,4
Violet Bazaar,0.06796116504854369,0.24561403508771928,0.03671711403007805,0.2375812988971628,0.023357849926604585,0.17882807693399275,34
Woody Allen,0.029126213592233007,0.05263157894736842,0.02646106986483914,0.22145587137020606,0.012824558837860605,0.015142843277392178,34
